title,link,postdate,fname
"Most-watched soccer games on US TV for June 28-July 2, 2017",https://worldsoccertalk.com/2017/07/07/most-watched-soccer-games-on-us-tv-for-june-28-july-2-2017/,"July 7, 2017",most-watched-soccer-games-on-us-tv-for-june-28-july-2-2017.html
"Most-watched soccer games on US TV for June 21-28, 2017",https://worldsoccertalk.com/2017/06/30/most-watched-soccer-games-on-us-tv-for-june-21-28-2017/,"June 30, 2017",most-watched-soccer-games-on-us-tv-for-june-21-28-2017.html
"Most-watched soccer games on US TV for June 13-19, 2017",https://worldsoccertalk.com/2017/06/24/watched-soccer-games-us-tv-june-13-19-2017/,"June 24, 2017",watched-soccer-games-us-tv-june-13-19-2017.html
"Most-watched soccer games on US TV for June 7-11, 2017",https://worldsoccertalk.com/2017/06/15/watched-soccer-games-us-tv-june-7-11-2017/,"June 15, 2017",watched-soccer-games-us-tv-june-7-11-2017.html
"Most-watched soccer games on US TV for May 29-June 4, 2017",https://worldsoccertalk.com/2017/06/10/watched-soccer-games-us-tv-may-29-june-4-2017/,"June 10, 2017",watched-soccer-games-us-tv-may-29-june-4-2017.html
"Most-watched soccer games on US TV for May 24-29, 2017",https://worldsoccertalk.com/2017/06/01/watched-soccer-games-us-tv-may-24-29-2017/,"June 1, 2017",watched-soccer-games-us-tv-may-24-29-2017.html
"Most-watched soccer games on US TV for May 15-21, 2017",https://worldsoccertalk.com/2017/05/27/watched-soccer-games-us-tv-may-15-21-2017/,"May 27, 2017",watched-soccer-games-us-tv-may-15-21-2017.html
"Most-watched soccer games on US TV for May 8-14, 2017",https://worldsoccertalk.com/2017/05/18/watched-soccer-games-us-tv-may-8-14-2017/,"May 18, 2017",watched-soccer-games-us-tv-may-8-14-2017.html
"Most-watched soccer games on US TV for May 1-7, 2017",https://worldsoccertalk.com/2017/05/12/watched-soccer-games-us-tv-may-1-7-2017/,"May 12, 2017",watched-soccer-games-us-tv-may-1-7-2017.html
"Most-watched soccer games on US TV for April 25-30, 2017",https://worldsoccertalk.com/2017/05/06/watched-soccer-games-us-tv-april-25-30-2017/,"May 6, 2017",watched-soccer-games-us-tv-april-25-30-2017.html
"Most-watched soccer games on US TV for April 17-23, 2017",https://worldsoccertalk.com/2017/04/29/most-watched-soccer-games-on-us-tv-for-april-17-23-2017/,"April 29, 2017",most-watched-soccer-games-on-us-tv-for-april-17-23-2017.html
"Most-watched soccer games on US TV for April 10-16, 2017",https://worldsoccertalk.com/2017/04/20/watched-soccer-games-us-tv-april-10-16-2017/,"April 20, 2017",watched-soccer-games-us-tv-april-10-16-2017.html
"Most-watched soccer games on US TV for April 3-9, 2017",https://worldsoccertalk.com/2017/04/15/watched-soccer-games-us-tv-april-3-9-2017/,"April 15, 2017",watched-soccer-games-us-tv-april-3-9-2017.html
"Most-watched soccer games on US TV for March 31-April 2, 2017",https://worldsoccertalk.com/2017/04/06/most-watched-soccer-games-on-us-tv-for-march-31-april-2-2017/,"April 6, 2017",most-watched-soccer-games-on-us-tv-for-march-31-april-2-2017.html
"Most-watched soccer games on US TV for March 23-28, 2017",https://worldsoccertalk.com/2017/03/31/watched-soccer-games-us-tv-march-23-28-2017/,"March 31, 2017",watched-soccer-games-us-tv-march-23-28-2017.html
"Most-watched soccer games on US TV for March 13-19, 2017",https://worldsoccertalk.com/2017/03/24/watched-soccer-games-us-tv-march-13-19-2017/,"March 24, 2017",watched-soccer-games-us-tv-march-13-19-2017.html
"Most-watched soccer games on US TV for March 7-12, 2017",https://worldsoccertalk.com/2017/03/18/watched-soccer-games-us-tv-march-7-12-2017/,"March 18, 2017",watched-soccer-games-us-tv-march-7-12-2017.html
"Most-watched soccer games on US TV for February 28-March 6, 2017",https://worldsoccertalk.com/2017/03/09/watched-soccer-games-us-tv-february-28-march-6-2017/,"March 9, 2017",watched-soccer-games-us-tv-february-28-march-6-2017.html
"Most-watched soccer games on US TV for February 21-26, 2017",https://worldsoccertalk.com/2017/03/04/watched-soccer-games-us-tv-february-21-26-2017/,"March 4, 2017",watched-soccer-games-us-tv-february-21-26-2017.html
"Most-watched soccer games on US TV for February 14-20, 2017",https://worldsoccertalk.com/2017/02/24/watched-soccer-games-us-tv-february-14-20-2017/,"February 24, 2017",watched-soccer-games-us-tv-february-14-20-2017.html
"Most-watched soccer games on US TV for February 7-13, 2017",https://worldsoccertalk.com/2017/02/17/watched-soccer-games-us-tv-february-7-13-2017/,"February 17, 2017",watched-soccer-games-us-tv-february-7-13-2017.html
"Most-watched soccer games on US TV for January 31-February 6, 2017",https://worldsoccertalk.com/2017/02/10/watched-soccer-games-us-tv-january-31-february-6-2017/,"February 10, 2017",watched-soccer-games-us-tv-january-31-february-6-2017.html
"Most-watched soccer games on US TV for January 24-30, 2017",https://worldsoccertalk.com/2017/02/02/watched-soccer-games-us-tv-january-24-30-2017/,"February 2, 2017",watched-soccer-games-us-tv-january-24-30-2017.html
Most-watched MLS teams on US TV during the 2016 season,https://worldsoccertalk.com/2017/02/01/watched-mls-teams-us-tv-2016-season/,"February 1, 2017",watched-mls-teams-us-tv-2016-season.html
"Most-watched soccer games on US TV for January 17-23, 2017",https://worldsoccertalk.com/2017/01/26/watched-soccer-games-us-tv-january-17-23-2017/,"January 26, 2017",watched-soccer-games-us-tv-january-17-23-2017.html
"Most-watched soccer games on US TV for January 10-16, 2017",https://worldsoccertalk.com/2017/01/19/watched-soccer-games-us-tv-january-10-16-2017/,"January 19, 2017",watched-soccer-games-us-tv-january-10-16-2017.html
"Most-watched soccer games on US TV for January 2-9, 2017",https://worldsoccertalk.com/2017/01/13/watched-soccer-games-us-tv-january-2-9-2017/,"January 13, 2017",watched-soccer-games-us-tv-january-2-9-2017.html
"Most-watched soccer games on US TV for week of December 27-January 1, 2017",https://worldsoccertalk.com/2017/01/06/watched-soccer-games-us-tv-week-december-27-january-1-2017/,"January 6, 2017",watched-soccer-games-us-tv-week-december-27-january-1-2017.html
"Most-watched soccer games on US TV for week of December 20-26, 2016",https://worldsoccertalk.com/2016/12/29/watched-soccer-games-us-tv-week-december-20-26-2016/,"December 29, 2016",watched-soccer-games-us-tv-week-december-20-26-2016.html
"Most-watched soccer games on US TV for week of December 13-19, 2016",https://worldsoccertalk.com/2016/12/22/watched-soccer-games-us-tv-week-december-13-19-2016/,"December 22, 2016",watched-soccer-games-us-tv-week-december-13-19-2016.html
"Most-watched soccer games on US TV for week of December 6 to 12, 2016",https://worldsoccertalk.com/2016/12/16/watched-soccer-games-us-tv-week-december-6-12-2016/,"December 16, 2016",watched-soccer-games-us-tv-week-december-6-12-2016.html
"Most-watched soccer games on US TV for week of November 29-December 5, 2016",https://worldsoccertalk.com/2016/12/07/watched-soccer-games-us-tv-week-november-29-december-5/,"December 7, 2016",watched-soccer-games-us-tv-week-november-29-december-5.html
"Most-watched soccer games on US TV for week of November 22-29, 2016",https://worldsoccertalk.com/2016/12/01/watched-soccer-games-us-tv-week-november-22-29-2016/,"December 1, 2016",watched-soccer-games-us-tv-week-november-22-29-2016.html
"Most-watched soccer games on US TV for week of November 18-21, 2016",https://worldsoccertalk.com/2016/11/23/watched-soccer-games-us-tv-week-november-18-21/,"November 23, 2016",watched-soccer-games-us-tv-week-november-18-21.html
"Most-watched soccer games on US TV for week of November 9-16, 2016",https://worldsoccertalk.com/2016/11/17/watched-soccer-games-us-tv-week-november-9-16-2016/,"November 17, 2016",watched-soccer-games-us-tv-week-november-9-16-2016.html
"Most-watched soccer games on US TV for week of November 1-6, 2016",https://worldsoccertalk.com/2016/11/10/watched-soccer-games-us-tv-week-november-1-6-2016/,"November 10, 2016",watched-soccer-games-us-tv-week-november-1-6-2016.html
"Most-watched soccer games on US TV for week of October 26-31, 2016",https://worldsoccertalk.com/2016/11/04/watched-soccer-games-us-tv-week-october-26-31-2016/,"November 4, 2016",watched-soccer-games-us-tv-week-october-26-31-2016.html
"Most-watched soccer games on US TV for week of October 17-23, 2016",https://worldsoccertalk.com/2016/10/27/watched-soccer-games-us-tv-week-october-17-23-2016/,"October 27, 2016",watched-soccer-games-us-tv-week-october-17-23-2016.html
"Most-watched soccer games on US TV for week of October 12-17, 2016",https://worldsoccertalk.com/2016/10/20/watched-soccer-games-us-tv-week-october-12-17-2016/,"October 20, 2016",watched-soccer-games-us-tv-week-october-12-17-2016.html
"Most-watched soccer games on US TV for week of October 3-11, 2016",https://worldsoccertalk.com/2016/10/14/watched-soccer-games-us-tv-october-3-11-2016/,"October 14, 2016",watched-soccer-games-us-tv-october-3-11-2016.html
Most-watched Copa America Centenario teams on US TV,https://worldsoccertalk.com/2016/07/02/watched-teams-copa-america-based-tv-viewing-audiences/,"July 2, 2016",watched-teams-copa-america-based-tv-viewing-audiences.html
Most-watched Copa America Centenario games on US TV,https://worldsoccertalk.com/2016/07/02/watched-copa-america-centenario-games-us-tv/,"July 2, 2016",watched-copa-america-centenario-games-us-tv.html
Most-watched Copa America Centenario games on FOX Sports,https://worldsoccertalk.com/2016/07/01/watched-copa-america-centenario-games-fox-sports/,"July 1, 2016",watched-copa-america-centenario-games-fox-sports.html
